Equipment_ID,Equipment_Name,Equipment_Type,การนำไปใช้งาน (วัดอะไร?)
MDB001,เครื่องชั่งดิจิตอล พิกัด 6 กิโลกรัม (ห้องเครื่องเสียบ),Measuring,"ชั่งน้ำหนักผลิตภัณฑ์  (น้ำหนัก / ไม้ , น้ำหนักรวม)"
MDB002,เครื่องชั่งดิจิตอล พิกัด 6 กิโลกรัม (ห้องเสียบมือ),Measuring,"ชั่งน้ำหนักผลิตภัณฑ์  (น้ำหนัก / ไม้ , น้ำหนักรวม)"
MDB003,เครื่องชั่งดิจิตอล พิกัด 15 กิโลกรัม (ห้องชั่งสาร),Measuring,ชั่งน้ำหนักส่วนผสม กลุ่ม DM
MDB004,เครื่องชั่งดิจิตอล พิกัด 15 กิโลกรัม (ห้องเครื่องเสียบ),Measuring,"ชั่งน้ำหนักผลิตภัณฑ์  (น้ำหนัก / ไม้ , น้ำหนักรวม)"
MDB006,เครื่องชั่งดิจิตอล พิกัด 100 กิโลกรัม (จุดเตรียมวัตถุดิบ),Measuring,ชั่งน้ำหนักวัตถุดิบ (ก่อนลดขนาด และแบ่งบรรจุถุง)
MDB007,เครื่องชั่งดิจิตอล พิกัด 15 กิโลกรัม (แผนกคุณภาพ),Measuring,สุ่มชั่งตลอดกระบวนการผลิต - QA/QC
MDB008,เครื่องชั่งดิจิตอล พิกัด 15 กิโลกรัม (ห้องเสียบมือ),Measuring,"ชั่งน้ำหนักผลิตภัณฑ์  (น้ำหนัก / ไม้ , น้ำหนักรวม)"
MDB009,เครื่องชั่งดิจิตอล พิกัด 150 กิโลกรัม (ห้องหมัก - ผสม),Measuring,ชั่งน้ำหนักวัตถุดิบ (ก่อนลดขนาด และแบ่งบรรจุถุง)
MDB010,เครื่องชั่งดิจิตอล พิกัด 150 กิโลกรัม (จุดรับวัตถุดิบ RM),Measuring,ชั่งน้ำหนักวัตถุดิบ กลุ่ม RM 
,,,
MTC001,ห้องแช่เย็นควบคุมอุณหภูมิ (ห้อง RM),Measuring,ห้องจัดเก็บวัตถุดิบกลุ่ม RM
MTC002,ห้องปฏิบัติงานควบคุมอุณหภูมิ (ห้องชั่งสาร),Measuring,ห้องปฏิบัติงาน
MTC003,ห้องแช่เย็นควบคุมอุณหภูมิ (ห้องพักหมูหมัก),Measuring,ห้องจัดเก็บหมูหมักบรรจุถุง
MTC004,ห้องปฏิบัติงานควบคุมอุณหภูมิ (ห้องผลิต),Measuring,ห้องปฏิบัติงาน
MTF001,ห้องแช่เยือกแข็งควบคุมอุณหภูมิ,Measuring,ห้อง FG 1
MTF002,ห้องแช่เยือกแข็งควบคุมอุณหภูมิ,Measuring,ห้อง FG 1.1
MTF003,ห้องแช่เยือกแข็งควบคุมอุณหภูมิ,Measuring,ห้อง FG 2
MTF004,ห้องแช่เยือกแข็งควบคุมอุณหภูมิ,Measuring,ห้อง FG 3
MTF005,ห้องแช่เยือกแข็งควบคุมอุณหภูมิ,Measuring,ห้อง Waste
,,,
MDT001,HANNA - IC,Measuring,วัดอุณหภูมิแกนกลางวัตถุดิบ (จุดรับวัตถุดิบ กลุ่ม RM)
MDT002,HANNA - IP,Measuring,วัดอุณหภูมิวัตถุดิบ / หมูหมักบน Hopper และอื่นๆในห้องผลิต
MDT003,Data Logger,Measuring,เก็บข้อมูลผลิตภัณฑ์
,,,
MIT001,Infared Thermometer - QA,Measuring,วัดอุณหภูมิรถขนส่งในกลุ่มวัตถุดิบ RM
MIT002,Infared Thermometer - PD,Measuring,วัดอุณหภูมิพื้นผิวผลิตภัณฑ์
,,, 
MRF001,Refractometer (Brix),Measuring,วัดค่าความหวานของน้ำซอสหมัก และผลิตภัณฑ์
MRF002,Refractometer (Salt),Measuring,วัดค่าความเค็มของน้ำซอสหมัก และผลิตภัณฑ์
,,,
MPH001,pH Meter 001,Measuring,วัดค่าคุณภาพของน้ำใช้ภายในโรงงาน
MPH002,pH Meter 002,Measuring,วัดค่าคุณภาพของน้ำใช้ภายในโรงงาน (เครื่องสำรอง)
,,,
TMD001,Metal Detector - S,Testing,ทดสอบสิ่งแปลกปลอมที่ปะปนกับผลิตภัณฑ์ เครื่อง S
TMD002,Metal Detector - L,Testing,ทดสอบสิ่งแปลกปลอมที่ปะปนกับผลิตภัณฑ์ เครื่อง L
,,,
VSC001,Visual Check,Visual,ตรวจสอบด้วยสายตา
,,,
,,,
, ,,
